,content,label
1055,추억의 영화...ㅋㅋ,0
1066,"새로 얻은 하루가 너무 길어서 개연성이 없게 느껴졌고, 연주회에 늦지는 않을지 조마조마 하면서 봤다. 그리고 죽음을 미리 보지 않았다면 남자는 갈수록 여자에게 지치고 여자는 남자에게 실망만 커졌을 관계가 아닌지... 그래도 사랑이었을지 싶다.",1
1421,개꿀잼....특히 자동차추격씬....소름...,1
275,진짜대박..,0
917,"시간 여행 덕분에 편하게 연애하고원하는 만큼 자고, 그렇게 좋은 사람을 얻고동생의 망가진 인생도 바꿔놓았으며 원할때면 돌아가신 아버지도 만날수 있는 주인공은어쩌면 엄청난 행운아다.누구에게나 공평한 한번뿐인 인생을 그 누구보다도 편하게 잘 살았다.영화 초반에 메리와 수차례 잘때만해도 그저 부러웠다.그런데 영화를 다 보고나니 하나도 부럽지 않았다.어제의 내가 창피하고 맘에 안들지만내일의 내가 기다려진다.시간은 결코 되돌릴수 없다는걸 알기에 또 최선을 다해 내일을 살아갈 나 말이다.",1
973,줄거리만 읽어도 대충 감이오는 스토리와 결말이라 기대안하고 봤는데 역시 예상대로였지만 재밌게봤다훈훈해서 좋달까~~,1
459,진 진짜 한번더보고싶은영화입니다콩코드기가나오는영화인데....끝장면이 참안타까운영화이지요,1
739,보는 내내 둘이 어떻게될까 조마조마 했는데 해피엔딩이어서 다행.,1
1236,인간이 자신이 가장 사랑하는 사람에게 까지도 얼마나 이기적일 수 있는지를 깨닫게 수 해주는 영화.. 기억이 지워진 이후에 녹음테이프에서 오직 자신들의 입장만을 말하는 것을 보고 난감해하는 남녀 주인공들을 수 보면서 느끼는게 많아진다..,1
673,나수윤의 발견!,0
125,메리(맥케나 그레이스) 너~무 너무 사랑스럽고 삼촌과의 해질녘 해변씬에서 삼촌등반할때 개구진 모습도 너무 귀엽고 ㅎㅎ 잠시 헤어질땐 너무나 가슴 아팠네요.한 3번은 운거 같네 ㅠㅠ소장가치 충분한 영화라 봅니다.!,1
1453,"인간으로써 가지는 아픔과 갈등을, 한 나라의 여왕으로써 감춰야만 하는 그녀.과연 여왕으로써 가져야할 덕목은 무엇인가. 반세기를 지내며 쌓아온 가치는 무엇인가. 수많은 요소가 복합적으로 얽혀있다.",1
1436,"1편보다 유령도 많이 나오고, 액션도 많이 나오고.....최고!!!!!!",1
